,City,Country,Latitude,Longitude,Temperature,Cloud Cover,Humidity,Wind Speed,Date
0,Busselton,AU,-33.65,115.33,73.8,42,61,5.99,1607641825
1,Avarua,CK,-21.21,-159.78,84.2,5,74,20.8,1607641910
2,Puerto Ayora,EC,-0.74,-90.35,76.5,20,61,12.75,1607642044
3,Saldanha,ZA,-33.01,17.94,60.8,98,77,3.36,1607642045
4,Puerto Escondido,MX,15.85,-97.07,82.4,75,69,3.36,1607642047
5,Skibbereen,IE,51.55,-9.27,48.2,75,93,10.29,1607642048
6,Flinders,AU,-34.58,150.86,64.99,82,57,5.99,1607642049
7,Broome,US,42.25,-75.83,33.71,40,74,2.51,1607642050
8,Punta Arenas,CL,-53.15,-70.92,59.0,20,47,13.87,1607641830
9,Bluff,NZ,-46.6,168.33,48.99,86,81,11.01,1607641902
10,Jumla,NP,29.27,82.18,38.16,0,55,5.79,1607642054
11,Nikolskoye,RU,59.7,30.79,16.32,0,85,8.95,1607641836
12,Kisangani,CD,0.52,25.2,70.52,100,97,2.46,1607642056
13,Guerrero Negro,MX,27.98,-114.06,66.34,3,61,15.52,1607641896
14,Rikitea,PF,-23.12,-134.97,77.11,37,81,14.61,1607641841
15,Thompson,CA,55.74,-97.86,5.0,40,77,5.82,1607642059
16,Mataura,NZ,-46.19,168.86,48.99,99,81,11.01,1607641824
17,Hobart,AU,-42.88,147.33,59.77,75,50,9.17,1607641869
18,Dhārchula,IN,29.85,80.53,48.72,0,40,7.85,1607642063
19,Husavik,IS,66.04,-17.34,39.2,90,88,6.93,1607642064
20,Padang,ID,-0.95,100.35,77.54,99,72,2.62,1607642065
21,Wasilla,US,61.58,-149.44,21.29,90,85,1.23,1607642067
22,Port Hawkesbury,CA,45.62,-61.35,34.21,90,89,4.7,1607642068
23,Jasper,US,37.2,-94.35,73.4,1,18,12.75,1607641974
24,Putat,PH,10.79,123.85,77.0,75,94,1.12,1607642070
25,Yangi Marg`ilon,UZ,40.43,71.72,32.0,97,85,6.93,1607641923
26,Cape Town,ZA,-33.93,18.42,61.16,20,87,5.82,1607641590
27,Deputatsky,RU,69.3,139.9,-33.54,41,80,4.14,1607642074
28,Ushuaia,AR,-54.8,-68.3,59.0,40,47,17.22,1607641832
29,Marsa,MT,35.88,14.5,59.29,40,62,17.22,1607642076
30,Atuona,PF,-9.8,-139.03,78.73,11,77,21.41,1607642077
31,Gilbués,BR,-9.83,-45.34,74.93,51,68,2.57,1607642079
32,Saskylakh,RU,71.92,114.08,-18.29,100,86,12.33,1607641933
33,Hasaki,JP,35.73,140.83,36.1,75,100,2.24,1607642078
34,Cabo San Lucas,MX,22.89,-109.91,79.43,75,78,13.87,1607641824
35,Constitución,CL,-35.33,-72.42,60.19,1,68,13.8,1607642083
36,Mongo,TD,12.18,18.69,75.81,69,19,5.23,1607642084
37,Provideniya,RU,64.38,-173.3,14.0,0,66,15.66,1607642085
38,Arraial do Cabo,BR,-22.97,-42.03,73.4,75,85,2.24,1607642087
39,Jamestown,US,42.1,-79.24,35.42,1,86,8.05,1607641913
40,Albany,US,42.6,-73.97,37.4,2,70,6.51,1607641617
41,Pudozh,RU,61.81,36.53,16.75,0,95,5.1,1607642090
42,Lorengau,PG,-2.02,147.27,84.79,95,69,6.87,1607642091
43,Ust-Nera,RU,64.57,143.2,-36.51,60,72,4.36,1607642093
44,Cap Malheureux,MU,-19.98,57.61,73.99,16,73,5.99,1607642094
45,Yellowknife,CA,62.46,-114.35,1.4,40,84,4.7,1607641843
46,Papara,BR,-3.98,-38.73,80.8,40,78,9.17,1607642096
47,Molina,CL,-35.12,-71.28,75.2,0,33,8.05,1607641802
48,Severo-Kuril'sk,RU,50.68,156.12,26.08,80,91,15.7,1607642099
49,Hermanus,ZA,-34.42,19.23,63.0,63,87,5.03,1607641914
50,Qaanaaq,GL,77.48,-69.36,12.99,100,92,4.85,1607641878
51,Beloha,MG,-25.17,45.05,74.98,42,76,5.77,1607642102
52,Keïta,NE,14.76,5.77,77.0,0,22,4.7,1607642105
53,Los Algarrobos,PA,8.5,-82.43,76.75,20,74,9.17,1607642107
54,Mar del Plata,AR,-38.0,-57.56,68.14,99,77,18.34,1607641666
55,Garissa,KE,-0.45,39.64,76.1,1,80,6.73,1607642109
56,Arrianá,GR,41.08,25.7,54.07,100,86,13.18,1607642111
57,Huejuquilla el Alto,MX,22.6,-103.87,70.52,83,40,14.12,1607642112
58,Itoman,JP,26.12,127.67,68.13,40,88,5.82,1607642113
59,Praia da Vitória,PT,38.73,-27.07,64.83,40,77,9.6,1607642114
60,Touros,BR,-5.2,-35.46,78.8,20,83,6.93,1607642115
61,Bāfq,IR,31.61,55.41,43.95,0,62,1.01,1607642117
62,Port Hedland,AU,-20.32,118.57,73.4,75,100,13.87,1607642118
63,Keti Bandar,PK,24.14,67.45,70.0,0,54,9.89,1607642119
64,La Sarre,CA,48.8,-79.2,28.17,100,99,7.31,1607642120
65,Rāpar,IN,23.57,70.63,71.78,13,42,2.57,1607642121
66,Bredasdorp,ZA,-34.53,20.04,64.4,90,82,1.12,1607642122
67,Morón,AR,-34.65,-58.62,89.71,0,30,7.0,1607642124
68,Arman',RU,59.7,150.17,-0.42,0,86,7.0,1607642125
69,Dno,RU,57.83,29.96,22.71,49,91,8.1,1607642126
70,Lüderitz,NA,-26.65,15.16,60.64,7,87,12.3,1607642127
71,Pevek,RU,69.7,170.31,3.6,43,87,8.03,1607642128
72,Saint George,US,37.1,-113.58,59.54,40,26,3.36,1607641573
73,Tuatapere,NZ,-46.13,167.68,50.0,83,80,10.0,1607642131
74,Vostok,RU,46.49,135.88,7.3,100,97,3.58,1607642132
75,Kyshtovka,RU,56.55,76.63,5.72,98,95,7.45,1607642133
76,Khatanga,RU,71.97,102.5,-32.53,95,84,7.85,1607641869
77,Brae,GB,60.4,-1.35,48.2,100,76,28.86,1607642135
78,Fortuna,US,40.6,-124.16,52.88,30,78,4.0,1607642137
79,São Félix do Xingu,BR,-6.64,-51.99,70.29,97,91,1.07,1607642138
80,Río Gallegos,AR,-51.62,-69.22,51.8,90,93,8.05,1607641970
81,Talara,PE,-4.58,-81.27,69.28,100,84,10.54,1607642141
82,Jalu,LY,29.03,21.55,51.48,0,58,7.34,1607642142
83,Gweru,ZW,-19.45,29.82,65.43,67,86,0.63,1607642143
84,Port Alfred,ZA,-33.59,26.89,68.72,74,90,7.45,1607641829
85,Cabedelo,BR,-6.98,-34.83,78.8,0,78,9.17,1607642145
86,Marsh Harbour,BS,26.54,-77.06,68.92,84,58,7.16,1607641835
87,Inuvik,CA,68.35,-133.72,-2.2,100,77,4.7,1607642148
88,Atar,MR,20.52,-13.05,64.38,85,25,9.64,1607642149
89,Adrar,MR,20.5,-10.07,63.0,98,24,11.39,1607642150
90,Vaini,TO,-21.2,-175.2,82.4,40,78,12.75,1607641877
91,Kaitangata,NZ,-46.28,169.85,51.01,100,71,11.01,1607641850
92,San Ramon,US,37.78,-121.98,63.59,1,22,10.29,1607641856
93,Cherskiy,RU,68.75,161.3,-1.48,96,80,3.24,1607642155
94,Norman Wells,CA,65.28,-126.83,3.2,90,77,1.99,1607641652
95,Poum,NC,-20.23,164.02,81.45,98,76,14.63,1607642157
96,Yakima,US,46.47,-120.67,33.8,75,80,2.8,1607641863
97,Barrow,US,71.29,-156.79,-5.8,90,76,9.17,1607641888
98,Bengkulu,ID,-3.8,102.27,74.71,94,84,6.08,1607641934
99,Cidreira,BR,-30.18,-50.21,70.75,0,81,15.73,1607642162
100,Olafsvik,IS,64.89,-23.71,38.86,96,88,19.44,1607642163
101,Kalmunai,LK,7.42,81.82,75.31,19,84,7.9,1607642164
102,Kapaa,US,22.08,-159.32,81.72,1,69,5.82,1607641704
103,Phalaborwa,ZA,-23.94,31.14,78.8,0,47,4.23,1607642166
104,Butaritari,KI,3.07,172.79,82.0,95,76,8.25,1607641822
105,Road Town,VG,18.42,-64.62,78.31,75,74,9.17,1607642169
106,Chalchihuites,MX,23.48,-103.88,63.21,80,43,18.25,1607642170
